NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units
2,4.3,18,4.38,18,12942,478848,50,91,22.2,100,1.93,2,18,2.6,1079,47,505,1491,69,0.97,4,7.06,29,0.3,2,1.11,12,1.2,100,1079
3,2.4,27,12.28,142,30514,11259845,63,438,37.9,100,4.6,91,4320,4.1,4730,38,1792,2177,69,36.51,422,12.37,143,0.2,6,0.34,16,1.48,100,4730
4,4.3,14,0.91,3,4398,4398,33,66,20,100,1.58,15,60,1.2,406,89,362,3768,44,1.21,4,13.06,43,0,0,0,0,1.17,93,377
5,21.4,36,14.96,25,32212,483185,53,37,22.1,0,0,52,170,2,326,59,191,1056,57,0,0,0.6,1,1.1,2,12.58,41,1.16,100,326
6,7.7,31,0.99,4,11734,809666,51,101,25,-1,-1,86,701,2,816,84,682,1078,68,0.25,1,4.22,17,1.2,7,6.62,54,1.28,100,816
7,1.8,10,5.48,30,46749,1542726,25,147,26.8,100,1.1,37,157,0.8,427,100,427,5211,36,0.73,4,6.57,36,0,0,0,0,1.19,71,302
8,2,12,0.17,1,11871,71228,34,87,14.6,80.67,2.42,32,327,1.7,1036,43,441,1901,52,0,0,2.85,17,0.1,1,0,0,1.13,100,1036
9,3.2,3,3.21,3,2507,47627,67,19,20.3,-1,-1,100,304,3.2,305,90,273,1341,62,12.83,12,16.03,15,1.1,3,0.66,2,1.38,100,305
10,2.9,16,1.81,10,6531,404899,48,123,22.3,-1,-1,86,1365,2.9,1592,75,1194,1085,63,1.81,10,10.52,58,0.4,4,2.95,47,1.35,100,1592
11,3.8,19,6.47,33,12718,496008,62,141,27.6,100,4.6,47,571,2.4,1225,64,784,2245,56,1.76,9,10.39,53,0,0,0.08,1,1.2,100,1225
12,1.2,2,4.41,7,14059,126534,32,56,35.3,100,1.27,100,1257,7.9,1257,0,0,-1,-1,0,0,0,0,0.4,3,1.27,16,1.05,100,1257
13,1.3,6,2.4,11,22780,1389568,39,157,34.3,-1,-1,24,435,4,1830,34,630,1337,58,0.22,1,4.81,22,0,0,0.44,8,1.24,100,1830
14,6.1,27,0.46,2,10143,91284,22,89,20.4,32,0.64,63,1010,3.7,1613,54,877,1884,19,0,0,2.75,12,0.3,3,0.37,6,1.08,74,1198
15,4.2,29,0,0,6665,26658,39,95,13.8,100,1.79,0,0,1.2,838,95,799,2338,40,0.43,3,3.77,26,0.1,1,0.24,2,1.18,0,0
16,2.1,15,1.93,14,13866,540790,40,157,21.7,100,2.12,67,1422,2.9,2114,56,1191,1473,45,0,0,3.04,22,0.9,13,0.71,15,1.2,98,2062
17,2.2,10,0,0,11130,233728,37,87,19.2,0,0,33,416,2.8,1253,69,859,1612,45,0,0,2.43,11,0.4,3,2.15,27,1.18,100,1253
18,8,49,1.79,11,31914,414876,27,140,22.8,68.96,2.91,73,1243,2.8,1693,42,709,3017,43,4.06,25,10.57,65,0,0,0.83,14,1.16,100,1693
19,2.6,22,0.84,7,4984,29906,45,161,19.2,100,4.01,35,618,2.1,1762,64,1122,2298,43,2.15,18,7.28,61,0.4,7,0.28,5,1.15,98,1718
20,4,16,9.02,36,23519,47037,12,93,23.3,14.29,0.19,75,1083,3.6,1452,52,760,1936,20,0,0,5.01,20,0.2,2,0.07,1,1.08,42,606
21,8.1,74,1.86,17,17208,2959696,48,254,27.8,25,0.77,43,532,1.3,1224,28,347,1418,36,0.11,1,0.66,6,1.5,6,0.9,11,1.18,100,1224
22,8.6,27,3.5,11,14635,1112235,63,77,24.5,100,1.16,0,0,1.6,508,36,185,1116,70,0.32,1,0.32,1,0,0,1.57,8,1.22,100,508
23,14.5,41,0.36,1,45398,272385,26,47,16.7,100,1.7,0,0,2,550,35,191,1460,35,0.71,2,2.85,8,0,0,1.82,10,1,84,460
24,3.5,6,0.56,1,11177,167656,50,38,21.1,-1,-1,33,147,2.5,446,74,328,1488,60,0,0,11.66,21,0,0,0,0,1.25,100,446
25,4.5,29,0.15,1,34759,208555,24,118,18.1,40.67,1.09,26,296,1.7,1118,76,853,2807,28,1.68,11,6.43,42,0.1,1,0.09,1,1.08,37,418
26,21.8,246,0.09,1,3082,15410,38,77,6.8,0,0,0,0,0.9,1068,100,1068,2044,22,0.97,11,0.8,9,0.8,9,0,0,1.03,13,134
27,6.4,21,0,0,17736,70945,25,55,17.1,0,0,68,674,3.1,988,68,676,1546,19,0,0,2.18,7,1.2,11,0,0,1.08,90,885
28,0.2,0,1.55,3,95684,287052,36,62,32,100,1.06,93,511,2.8,550,48,261,2986,50,2.06,4,6.7,13,0,0,0.18,1,1.31,100,550
29,3.2,13,0.24,1,1066,1066,15,65,15.9,67.95,4.07,0,0,1.4,565,54,306,2840,33,0.24,1,2.94,12,0,0,0.18,1,1.02,26,148
30,3.6,17,6.71,32,12617,1551857,53,143,30,100,1.08,52,511,2.1,987,13,129,866,53,8.8,42,0,0,2.5,2,1.22,12,1.25,100,987
31,1.1,4,0.26,1,4481,8962,34,74,19.2,100,1.84,4,28,1.8,677,84,571,3064,46,0.52,2,9.1,35,0.1,1,0,0,1.21,62,421
32,0,0,13.82,12,42656,383905,24,38,43.8,-1,-1,100,220,2.5,220,0,0,-1,-1,0,0,0,0,1.8,4,0,0,1.07,100,220
33,15.9,41,0,0,87385,699081,22,67,25.9,-1,-1,93,587,2.4,628,7,42,1908,34,0,0,0.39,1,0,0,0,0,1.17,100,628
34,41.1,382,0.54,5,36600,256199,36,59,6.4,0,0,35,292,0.9,824,83,685,1305,41,0.97,9,1.08,10,2.4,20,5.1,42,1.13,28,228
35,45,1025,0.18,4,21070,863864,41,144,6.3,86.64,2.01,0,0,0.4,892,90,806,2130,24,3.82,87,0.83,19,0.2,2,0.45,4,1.27,0,0
36,3.9,23,0.84,5,8811,273134,26,103,17.4,100,4.19,32,393,2.1,1232,64,793,1947,36,0.51,3,4.55,27,0.8,8,0.24,3,1.1,61,753
37,9.7,24,0,0,7347,235105,69,56,23,100,1.16,4,34,3.2,774,80,619,1072,63,2.47,6,12.33,30,0,0,4.39,34,1.42,100,774
38,13,243,1.97,37,50046,5304928,24,456,24.3,0,0,26,216,0.4,841,90,757,2427,25,0,0,0.8,15,0.4,3,0.48,4,1.17,0,4
39,16.3,109,0.15,1,16116,80581,32,78,11.7,27.22,0.49,0,0,1.4,965,100,964,1934,26,1.2,8,2.54,17,1.2,12,0.21,2,1.05,5,44
40,5.4,19,0.29,1,17894,89468,30,68,19.5,0,0,78,930,3.4,1191,51,607,1426,35,5.17,18,2.3,8,0.9,8,2.1,25,1.22,100,1191
41,3.3,10,9.58,30,79526,159052,25,49,15.6,0,0,46,354,2.5,773,48,373,1677,38,0,0,3.19,10,0.4,3,0.39,3,1.1,100,773
42,0,0,1.14,4,1697,3393,41,83,23.6,96.05,2.43,3,46,3.8,1328,26,340,3244,32,0,0,4.26,15,0.1,1,0.08,1,1.07,68,902
43,1.4,5,0.28,1,22142,66425,24,62,17.3,97.1,3.35,62,403,1.8,655,60,391,2982,44,0.28,1,3.07,11,0,0,0.61,4,1.15,95,625
44,8.5,19,0.45,1,20967,125801,25,46,20.6,-1,-1,0,2,2.1,473,35,164,4270,26,0.45,1,3.59,8,0,0,0,0,1.04,44,207
45,35.6,343,0.93,9,156817,470450,5,138,14.3,0,0,3,39,1.2,1180,94,1111,2848,10,20.93,202,2.8,27,0.1,1,0,0,1.27,8,99
46,1.2,3,1.05,3,13024,91167,22,54,18.8,-1,-1,35,334,3.3,956,43,411,1881,28,0,0,0.7,2,1.2,5,0.21,2,1.06,0,0
