,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
0,2.0,4.3,18.0,4.38,18.0,12942.0,478848.0,50.0,91,22.2,100.0,1.93,2.0,18.0,2.6,1079,47.0,505.0,1491.0,69.0,0.97,4.0,7.06,29.0,0.3,2.0,1.11,12.0,1.2,100.0,1079.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
1,3.0,2.4,27.0,12.28,142.0,30514.0,11259845.0,63.0,438,37.9,100.0,4.6,91.0,4320.0,4.1,4730,38.0,1792.0,2177.0,69.0,36.51,422.0,12.37,143.0,0.2,6.0,0.34,16.0,1.48,100.0,4730.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
2,4.0,4.3,14.0,0.91,3.0,4398.0,4398.0,33.0,66,20.0,100.0,1.58,15.0,60.0,1.2,406,89.0,362.0,3768.0,44.0,1.21,4.0,13.06,43.0,0.0,0.0,0.0,0.0,1.17,93.0,377.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
3,5.0,21.4,36.0,14.96,25.0,32212.0,483185.0,53.0,37,22.1,0.0,0.0,52.0,170.0,2.0,326,59.0,191.0,1056.0,57.0,0.0,0.0,0.6,1.0,1.1,2.0,12.58,41.0,1.16,100.0,326.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
4,6.0,7.7,31.0,0.99,4.0,11734.0,809666.0,51.0,101,25.0,,,86.0,701.0,2.0,816,84.0,682.0,1078.0,68.0,0.25,1.0,4.22,17.0,1.2,7.0,6.62,54.0,1.28,100.0,816.0,15.6882743761,6.97256638936,11.3304203827,3.9608426346,2.6405617564,3.0,2.0
5,7.0,1.8,,5.48,30.0,46749.0,1542726.0,25.0,147,26.8,100.0,1.1,37.0,157.0,0.8,427,100.0,427.0,5211.0,36.0,0.73,4.0,6.57,36.0,0.0,0.0,0.0,0.0,1.19,71.0,302.0,1.74314159734,6.97256638936,4.35785399335,1.3202808782,2.6405617564,1.0,2.0
6,8.0,2.0,12.0,0.17,1.0,11871.0,71228.0,34.0,87,14.6,80.67,2.42,32.0,327.0,1.7,1036,43.0,441.0,1901.0,52.0,0.0,0.0,2.85,17.0,0.1,1.0,0.0,0.0,1.13,100.0,1036.0,0.0,1.74314159734,0.87157079867,0.0,1.3202808782,0.0,1.0
7,9.0,3.2,3.0,3.21,3.0,2507.0,47627.0,67.0,19,20.3,,,100.0,304.0,3.2,305,90.0,273.0,1341.0,62.0,12.83,12.0,16.03,15.0,1.1,3.0,0.66,2.0,1.38,100.0,305.0,0.0,6.97256638936,3.48628319468,0.0,2.6405617564,0.0,2.0
8,,2.9,16.0,1.81,,6531.0,404899.0,48.0,123,22.3,,,86.0,1365.0,2.9,1592,75.0,1194.0,1085.0,63.0,1.81,,10.52,58.0,0.4,4.0,2.95,47.0,1.35,100.0,1592.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
9,11.0,3.8,19.0,6.47,33.0,12718.0,496008.0,62.0,141,27.6,100.0,4.6,47.0,571.0,2.4,1225,64.0,784.0,2245.0,56.0,1.76,9.0,10.39,53.0,0.0,0.0,0.08,1.0,1.2,100.0,1225.0,6.97256638936,6.97256638936,6.97256638936,2.6405617564,2.6405617564,2.0,2.0
