,NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units,Violent_Crime_Rate,Property_Crime_Rate,Combined_Crime_Rate,Violent_Crime_Rate_Log2,Property_Crime_Rate_Log2,Violent_Crime_Rate_Class,Property_Crime_Rate_Class
0,2,4.3,18,4.38,18,12942.0,478848.0,50.0,91,22.2,100.0,1.93,2.0,18.0,2.6,1079,47.0,505.0,1491.0,69.0,0.97,4,7.06,29,0.3,2.0,1.11,12.0,1.2,100,1079.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
1,3,2.4,27,12.28,142,30514.0,11259845.0,63.0,438,37.9,100.0,4.6,91.0,4320.0,4.1,4730,38.0,1792.0,2177.0,69.0,36.51,422,12.37,143,0.2,6.0,0.34,16.0,1.48,100,4730.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
2,4,4.3,14,0.91,3,4398.0,4398.0,33.0,66,20.0,100.0,1.58,15.0,60.0,1.2,406,89.0,362.0,3768.0,44.0,1.21,4,13.06,43,0.0,0.0,0.0,0.0,1.17,93,377.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
3,5,21.4,36,14.96,25,32212.0,483185.0,53.0,37,22.1,0.0,0.0,52.0,170.0,2.0,326,59.0,191.0,1056.0,57.0,0.0,0,0.6,1,1.1,2.0,12.58,41.0,1.16,100,326.0,15.6882743761,19.4312434833,17.5597589297,3.9608426346,4.408088416,3.0,2.0
5,7,1.8,10,5.48,30,46749.0,1542726.0,25.0,147,26.8,100.0,1.1,37.0,157.0,0.8,427,100.0,427.0,5211.0,36.0,0.73,4,6.57,36,0.0,0.0,0.0,0.0,1.19,71,302.0,1.74314159734,19.4312434833,10.5871925403,1.3202808782,4.408088416,1.0,2.0
6,8,2.0,12,0.17,1,11871.0,71228.0,34.0,87,14.6,80.67,2.42,32.0,327.0,1.7,1036,43.0,441.0,1901.0,52.0,0.0,0,2.85,17,0.1,1.0,0.0,0.0,1.13,100,1036.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
9,11,3.8,19,6.47,33,12718.0,496008.0,62.0,141,27.6,100.0,4.6,47.0,571.0,2.4,1225,64.0,784.0,2245.0,56.0,1.76,9,10.39,53,0.0,0.0,0.08,1.0,1.2,100,1225.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
12,14,6.1,27,0.46,2,10143.0,91284.0,22.0,89,20.4,32.0,0.64,63.0,1010.0,3.7,1613,54.0,877.0,1884.0,19.0,0.0,0,2.75,12,0.3,3.0,0.37,6.0,1.08,74,1198.0,0.0,4.85781087082,2.42890543541,0.0,2.204044208,0.0,1.0
13,15,4.2,29,0.0,0,6665.0,26658.0,39.0,95,13.8,100.0,1.79,0.0,0.0,1.2,838,95.0,799.0,2338.0,40.0,0.43,3,3.77,26,0.1,1.0,0.24,2.0,1.18,0,0.0,0.0,19.4312434833,9.71562174164,0.0,4.408088416,0.0,2.0
14,16,2.1,15,1.93,14,13866.0,540790.0,40.0,157,21.7,100.0,2.12,67.0,1422.0,2.9,2114,56.0,1191.0,1473.0,45.0,0.0,0,3.04,22,0.9,13.0,0.71,15.0,1.2,98,2062.0,6.97256638936,19.4312434833,13.2019049363,2.6405617564,4.408088416,2.0,2.0
